config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;SymbolSymbol Kind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<unsigned int>;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::OptionValue<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GenericOptionValue::anchor();DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::anchor();DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::error(llvm::Twine const&, llvm::StringRef, llvm::raw_ostream&);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<bool, false, llvm::cl::parser<bool> >;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::parser<unsigned int>::parse(llvm::cl::Option&, llvm::StringRef, llvm::StringRef, unsigned int&);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::AddLiteralOption(llvm::cl::Option&, llvm::StringRef);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<unsigned int, false, llvm::cl::parser<unsigned int> >;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<float>;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::ParseCommandLineOptions(int, char const* const*, llvm::StringRef, llvm::raw_ostream*, char const*, bool);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GeneralCategory;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::Option;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::parser<float>::printOptionDiff(llvm::cl::Option const&, float, llvm::cl::OptionValue<float>, unsigned long) const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::parser<unsigned long long>::printOptionDiff(llvm::cl::Option const&, unsigned long long, llvm::cl::OptionValue<unsigned long long>, unsigned long) const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::generic_parser_base::printGenericOptionDiff(llvm::cl::Option const&, llvm::cl::GenericOptionValue const&, llvm::cl::GenericOptionValue const&, unsigned long) const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::printOptionInfo(llvm::cl::Option const&, unsigned long) const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::parser<float>::parse(llvm::cl::Option&, llvm::StringRef, llvm::StringRef, float&);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::generic_parser_base::getOptionWidth(llvm::cl::Option const&) const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::generic_parser_base::printOptionInfo(llvm::cl::Option const&, unsigned long) const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::parser<unsigned long long>::parse(llvm::cl::Option&, llvm::StringRef, llvm::StringRef, unsigned long long&);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::getOptionWidth(llvm::cl::Option const&) const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::ErrorInfoBase::ID;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::StringError::StringError(llvm::Twine const&, std::error_code);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::errorCodeToError(std::error_code);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);vtable for llvm::ErrorList;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::ErrorList::ID;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(FormattedStream.cpp.o);vtable for llvm::formatted_raw_ostream;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(FormattedStream.cpp.o);llvm::formatted_raw_ostream::PadToColumn(unsigned int);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::~InitLLVM();DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::InitLLVM(int&, char const**&, bool);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(LineIterator.cpp.o);llvm::line_iterator::line_iterator(llvm::MemoryBuffer const&, bool, char);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(LineIterator.cpp.o);llvm::line_iterator::advance();DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::allocate_buffer(unsigned long, unsigned long);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::deallocate_buffer(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(MemoryBuffer.cpp.o);llvm::MemoryBuffer::getFileOrSTDIN(llvm::Twine const&, bool, bool);DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(Twine.cpp.o);llvm::Twine::str[abi:cxx11]() const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(Twine.cpp.o);llvm::Twine::toVector(llvm::SmallVectorImpl<char>&) const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(Twine.cpp.o);llvm::Twine::print(llvm::raw_ostream&) const;DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(WithColor.cpp.o);llvm::WithColor::warning();DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(WithColor.cpp.o);llvm::WithColor::error();DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(WithColor.cpp.o);llvm::WithColor::note();DefinedKind
tools/llvm-profdata/CMakeFiles/llvm-profdata.dir/llvm-profdata.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_fd_ostream::preferred_buffer_size() const;DefinedKind
