config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;SymbolSymbol Kind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMIRReader.a(IRReader.cpp.o);llvm::parseIRFile(llvm::StringRef, llvm::SMDiagnostic&, llvm::LLVMContext&, llvm::function_ref<llvm::Optional<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > (llvm::StringRef)>);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::OptionValue<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addOccurrence(unsigned int, llvm::StringRef, llvm::StringRef, bool);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addArgument();DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GenericOptionValue::anchor();DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::anchor();DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::printOptionInfo(llvm::cl::Option const&, unsigned long) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GeneralCategory;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::ParseCommandLineOptions(int, char const* const*, llvm::StringRef, llvm::raw_ostream*, char const*, bool);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::getOptionWidth(llvm::cl::Option const&) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::deallocate_buffer(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/llvm-diff.cpp.o;lib/libLLVMSupport.a(SourceMgr.cpp.o);llvm::SMDiagnostic::print(char const*, llvm::raw_ostream&, bool, bool) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::DiffLogBuilder::getNumLines() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::DiffLogBuilder::getLineKind(unsigned int) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::DiffLogBuilder::getRight(unsigned int) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::DiffLogBuilder::getLeft(unsigned int) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::LogBuilder::getFormat() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::LogBuilder::getArgument(unsigned int) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMCore.a(AsmWriter.cpp.o);llvm::Value::print(llvm::raw_ostream&, bool) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMCore.a(Function.cpp.o);llvm::Function::BuildLazyArguments() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::operator<<(unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(char const*, unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(unsigned char);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMCore.a(Value.cpp.o);llvm::Value::getName() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMSupport.a(Debug.cpp.o);llvm::dbgs();DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::deallocate_buffer(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::allocate_buffer(unsigned long, unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffConsumer.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned int>::mallocForGrow(unsigned long, unsigned long, unsigned long&);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned int>::grow_pod(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::LogBuilder::~LogBuilder();DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::DiffLogBuilder::~DiffLogBuilder();DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::DiffLogBuilder::addRight(llvm::Instruction*);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::DiffLogBuilder::addLeft(llvm::Instruction*);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;tools/llvm-diff/CMakeFiles/llvm-diff.dir/DiffLog.cpp.o;llvm::DiffLogBuilder::addMatch(llvm::Instruction*, llvm::Instruction*);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMCore.a(BasicBlock.cpp.o);llvm::BasicBlock::getTerminator() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMCore.a(Constants.cpp.o);llvm::ConstantExpr::getPredicate() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMCore.a(Function.cpp.o);llvm::Function::BuildLazyArguments() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMCore.a(Globals.cpp.o);llvm::GlobalValue::isDeclaration() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMCore.a(Instruction.cpp.o);llvm::Instruction::getSuccessor(unsigned int) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMCore.a(Instructions.cpp.o);llvm::CallBase::getNumSubclassExtraOperandsDynamic() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::getFunction(llvm::StringRef) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMCore.a(User.cpp.o);llvm::User::getDescriptor();DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMCore.a(Value.cpp.o);llvm::Value::getName() const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::allocate_buffer(unsigned long, unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::deallocate_buffer(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned long>::grow_pod(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned int>::mallocForGrow(unsigned long, unsigned long, unsigned long&);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned int>::grow_pod(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMSupport.a(StringMap.cpp.o);llvm::StringMapImpl::LookupBucketFor(llvm::StringRef);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMSupport.a(StringMap.cpp.o);llvm::StringMapImpl::FindKey(llvm::StringRef) const;DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMSupport.a(StringMap.cpp.o);llvm::StringMapImpl::RehashTable(unsigned int);DefinedKind
tools/llvm-diff/CMakeFiles/llvm-diff.dir/DifferenceEngine.cpp.o;lib/libLLVMSupport.a(Twine.cpp.o);llvm::Twine::toVector(llvm::SmallVectorImpl<char>&) const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::AttributeList::getAsString[abi:cxx11](unsigned int, bool) const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::Attribute::isStringAttribute() const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::AttributeSet::getAsString[abi:cxx11](bool) const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::AttributeSet::begin() const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::AttributeSet::end() const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::Attribute::isTypeAttribute() const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::Attribute::hasAttribute(llvm::Attribute::AttrKind) const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::Attribute::getValueAsType() const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::Attribute::getAsString[abi:cxx11](bool) const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::AttributeList::getFnAttributes() const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::AttributeList::getParamAttributes(unsigned int) const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Attributes.cpp.o);llvm::AttributeList::hasAttributes(unsigned int) const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(BasicBlock.cpp.o);llvm::BasicBlock::getModule() const;DefinedKind
lib/libLLVMCore.a(AsmWriter.cpp.o);lib/libLLVMCore.a(Comdat.cpp.o);llvm::Comdat::getName() const;DefinedKind
